,incident_number,year,recovery_date,ucr_category,firearm_category,firearm_subcategory,firearm_manufacturer,firearm_model,firearm_caliber,address_geocode_type,block_address,street_address,city,state,zipcode,longitude,latitude,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,confidence
0,80-06-008380,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
1,80-10-002211,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
2,80-17-000578,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
3,80-17-001680,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
4,80-17-002802,,,Death_Investigation,,,,,,,,,Louisville,KY,40211,0.0,0.0,,,,0.0
5,80-17-005762,,,Suicide,,,,,,,,,Louisville,KY,40203,0.0,0.0,,,,0.0
6,80-17-005978,,,Suicide,,,,,,,,,Louisville,KY,40215,0.0,0.0,,,,0.0
7,80-17-006522,,,Suicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
8,80-17-006938,,,Suicide,,,,,,,,,Louisville,KY,40206,0.0,0.0,,,,0.0
9,80-17-008744,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
10,80-17-009944,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
11,80-17-010334,,,Suicide,,,,,,,,,Louisville,KY,40258,0.0,0.0,,,,0.0
12,80-17-010650,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
13,80-17-012897,,,Homicide,,,,,,,,,Louisville,KY,40202,0.0,0.0,,,,0.0
15,80-17-012897,,,Homicide,,,,,,,,,Louisville,KY,40215,0.0,0.0,,,,0.0
17,80-17-014321,,,Suicide,,,,,,,,,Louisville,KY,40241,0.0,0.0,,,,0.0
18,80-17-014494,,,Suicide,,,,,,,,,Louisville,KY,40272,0.0,0.0,,,,0.0
19,80-17-015302,,,Suicide,,,,,,,,,Louisville,KY,40210,0.0,0.0,,,,0.0
20,80-16-091552,2017,2017-02-22,Burglary,Pistol,Semi-Automatic,Taurus_International,Model_Pt99,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,White,F,41.0,1.0
21,80-17-015225,2017,2017-02-22,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,,9MM,,Dixie Hwy At I265,,Louisville,KY,40272,,,White,M,19.0,
22,80-17-014942,2017,2017-02-21,Narcotics,Pistol,Semi-Automatic,Cobra_Enterprises_Inc,Ca_Series,380C,BLOCK,4200 Block S 2Nd St,4200_S_2nd_St,Louisville,KY,40214,-85.763628,38.195203,Black,F,19.0,1.0
23,80-17-015000,2017,2017-02-21,Wpns_Law_Violation,Pistol,Semi-Automatic,"Glock,_Inc.",,45C,BLOCK,4500 Block S 6Th St,4500_S_6th_St,Louisville,KY,40214,-85.77046899999999,38.188165000000005,White,M,32.0,1.0
24,80-17-014921,2017,2017-02-21,Wpns_Law_Violation,,,"Glock,_Inc.",Model_31/31C_(3,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,24.0,1.0
25,80-17-014610,2017,2017-02-20,Wpns_Law_Violation,Pistol,Semi-Automatic,Jimenez_Arms,See_Bryco,380C,BLOCK,2500 Block Alanmede Rd,2500_Alanmede_Rd,Louisville,KY,40205,-85.667457,38.216242,White,M,16.0,1.0
26,80-17-014580,2017,2017-02-19,Aggravated_Assault,Pistol,Semi-Automatic,Hipoint,Jh-45,4570,BLOCK,3700 Block Oboe Dr,3700_Oboe_Dr,Louisville,KY,40216,-85.841996,38.200835,Black,M,23.0,1.0
27,80-17-014412,2017,2017-02-19,Wpns_Law_Violation,Rifle,Semi-Automatic,"Rock_Island_Armory_Inc._(Geneseo,_Il)",,22C,BLOCK,5200 Block Shepherdsville Rd,5200_Shepherdsville_Rd,Louisville,KY,40228,-85.660083,38.174898999999996,Black,M,28.0,1.0
28,80-17-014045,2017,2017-02-17,Aggravated_Assault,Pistol,Semi-Automatic,Beretta_(Industria_S.A.),Px4_Storm,45C,BLOCK,1500 Block Frankfort Ave,1500_Frankfort_Ave,Louisville,KY,40206,-85.70275600000001,38.253079,,,,0.728
29,80-17-013774,2017,2017-02-17,Wpns_Law_Violation,Pistol,Semi-Automatic,Cobra_Enterprises_Inc,Ca_Series,380C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,White,M,49.0,1.0
30,80-17-013773,2017,2017-02-17,Wpns_Law_Violation,Rifle,Semi-Automatic,O._F._Mossberg_&_Sons,Blaze_47,22C,,7Th Street Rd / Wathen Ln,,Shively,KY,40215,,,Black,M,19.0,
31,80-17-013773,2017,2017-02-17,Wpns_Law_Violation,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",P-3At,380C,,7Th Street Rd / Wathen Ln,,Shively,KY,40215,,,Black,M,19.0,
32,80-17-013756,2017,2017-02-17,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Pistols:_M&P,9MM,,Constance Dr,,Louisville,KY,40272,,,White,M,19.0,
33,80-17-013485,2017,2017-02-16,Aggravated_Assault,Pistol,Semi-Automatic,Ruger,Handguns:_P_Ser,45C,BLOCK,100 Block W Oak St,100_W_Oak_St,Louisville,KY,40203,-85.757467,38.235146,Black,M,33.0,0.728
34,80-17-013601,2017,2017-02-16,Narcotics,Pistol,Semi-Automatic,Ruger,,22C,BLOCK,1300 Block S 7Th St,1300_S_7th_St,Louisville,KY,40203,-85.762737,38.248071,Black,M,23.0,0.728
37,80-17-013601,2017,2017-02-16,Narcotics,Rifle,Semi-Automatic,American_Tactical_Imports_(Ati),,223C,BLOCK,1300 Block S 7Th St,1300_S_7th_St,Louisville,KY,40203,-85.762737,38.248071,Black,M,23.0,0.728
40,80-17-013601,2017,2017-02-16,Narcotics,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",,9MM,BLOCK,1300 Block S 7Th St,1300_S_7th_St,Louisville,KY,40203,-85.762737,38.248071,Black,M,23.0,0.728
43,80-17-013472,2017,2017-02-16,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,Handguns:_P_Ser,45C,BLOCK,2200 Block W Market St,2200_W_Market_St,Louisville,KY,40212,-85.787047,38.25817,Black,M,39.0,1.0
44,80-17-013445,2017,2017-02-16,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Bodyguard,380C,BLOCK,3100 Block Lakeheath Dr,3100_Lakeheath_Dr,Louisville,KY,40213,-85.702587,38.171283,Black,M,38.0,1.0
47,80-17-013445,2017,2017-02-16,Wpns_Law_Violation,Shotgun,Pump_Action,O._F._Mossberg_&_Sons,,12GA,BLOCK,3100 Block Lakeheath Dr,3100_Lakeheath_Dr,Louisville,KY,40213,-85.702587,38.171283,Black,M,38.0,1.0
50,80-17-013445,2017,2017-02-16,Wpns_Law_Violation,Pistol,Revolver,High_Standard_Manufacturing_Company_(Houston),,22C,BLOCK,3100 Block Lakeheath Dr,3100_Lakeheath_Dr,Louisville,KY,40213,-85.702587,38.171283,Black,M,38.0,1.0
53,80-17-013463,2017,2017-02-16,Wpns_Law_Violation,Pistol,Semi-Automatic,,Tp9,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,,-85.761323,38.253961,,,,1.0
54,80-17-013639,2017,2017-02-16,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,Jh-45,45C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,35.0,1.0
55,80-17-013647,2017,2017-02-16,Wpns_Law_Violation,Pistol,Semi-Automatic,,Cal_22_Lr_Hv,22C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,43.0,1.0
56,80-17-013475,2017,2017-02-16,Wpns_Law_Violation,Shotgun,Pump_Action,,,12GA,BLOCK,800 Block Brentwood Ave,800_Brentwood_Ave,Louisville,KY,40215,-85.77279899999999,38.194628,White,M,44.0,1.0
58,80-17-013475,2017,2017-02-16,Wpns_Law_Violation,Pistol,Derringer,,,22C,BLOCK,800 Block Brentwood Ave,800_Brentwood_Ave,Louisville,KY,40215,-85.77279899999999,38.194628,White,M,44.0,1.0
60,80-17-013177,2017,2017-02-15,Aggravated_Assault,,,Smith_&_Wesson,Pistols:_M&P,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,51.0,1.0
61,80-17-013356,2017,2017-02-15,Narcotics,Pistol,Semi-Automatic,Springfield_Firearms_Corporation,,40C,BLOCK,9500 Block Yellow Pine Ct,9500_Yellow_Pine_Ct,Louisville,KY,40229,-85.645328,38.108715000000004,White,M,24.0,1.0
62,80-17-013374,2017,2017-02-15,Wpns_Law_Violation,Pistol,Semi-Automatic,,Sccy,9MM,,Dixie Hwy / Garland Ave,,Louisville,KY,40210,,,Black,M,18.0,
63,80-17-013349,2017,2017-02-15,Wpns_Law_Violation,Pistol,Semi-Automatic,Taurus_International,Model_Pt111,9MM,,S 22Nd St / W Broadway,,Louisville,KY,40211,,,Black,M,26.0,
64,80-17-012876,2017,2017-02-14,Narcotics,Pistol,Semi-Automatic,Cobra_Enterprises_Inc,,380C,BLOCK,11600 Block Semillon Ln,11600_Semillon_Ln,Louisville,KY,40272,-85.86872,38.087226,White,M,34.0,0.528
65,80-17-012608,2017,2017-02-14,Aggravated_Assault,Pistol,Semi-Automatic,Hipoint,,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,30.0,1.0
66,80-17-012997,2017,2017-02-14,Wpns_Law_Violation,,,,,22C,BLOCK,700 Block Roselane St,700_Roselane_St,Louisville,KY,40203,-85.744628,38.242763000000004,Black,M,19.0,0.728
67,80-17-012855,2017,2017-02-14,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,,380C,,Fern Valley Rd / Hanses Dr,,Louisville,KY,40219,,,Black,M,27.0,
68,80-17-012585,2017,2017-02-14,Wpns_Law_Violation,Pistol,Semi-Automatic,Colt,,22C,,S 22Nd St / W Broadway,,Louisville,KY,40211,,,Black,M,30.0,
69,80-17-012885,2017,2017-02-14,Intimidation,Pistol,Semi-Automatic,Bryco_Arms,Jennings_Nine,9MM,,S 26Th St / W Chestnut St,,Louisville,KY,40211,,,Black,M,49.0,
70,80-17-012793,2017,2017-02-13,Wpns_Law_Violation,Pistol,Semi-Automatic,,,9MM,BLOCK,3400 Block Taylor Blvd,3400_Taylor_Blvd,Louisville,KY,40215,-85.783139,38.1994,Black,M,19.0,1.0
71,80-17-012491,2017,2017-02-13,Stolen_Property,,,Smith_&_Wesson,Rifle:_M&P_15,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,20.0,1.0
73,80-17-012491,2017,2017-02-13,Stolen_Property,,,"Glock,_Inc.",Model_30_(45_Ac,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,20.0,1.0
75,80-17-012858,2017,2017-02-13,Wpns_Law_Violation,Pistol,Semi-Automatic,Jimenez_Arms,,9MM,BLOCK,9600 Block El Prado St,9600_El_Prado_St,Louisville,KY,40272,-85.85556,38.109559999999995,White,M,55.0,0.728
76,80-17-012576,2017,2017-02-13,Wpns_Law_Violation,Pistol,Derringer,Cobra_Enterprises_Inc,,38C,,S 41St St / W Market St,,Louisville,KY,40212,,,Black,M,45.0,
77,80-17-012543,2017,2017-02-12,Wpns_Law_Violation,Pistol,Revolver,North_American_Arms,,22C,BLOCK,4200 Block Poppy Ave,4200_Poppy_Ave,Louisville,KY,40216,-85.835042,38.195307,White,M,36.0,0.664
78,80-17-012441,2017,2017-02-12,Wpns_Law_Violation,Pistol,Semi-Automatic,Browning_Arms_Co.,,380C,,S 38Th St / W Broadway,,Louisville,KY,40211,,,Black,M,16.0,
79,80-17-012324,2017,2017-02-12,Wpns_Law_Violation,Pistol,Semi-Automatic,,,22C,,S 44Th St / Del Park Ter,,Louisville,KY,40211,,,White,M,28.0,
80,80-17-012068,2017,2017-02-11,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,,40C,BLOCK,1500 Block S 12Th St,1500_S_12th_St,Louisville,KY,40210,-85.774893,38.226586,Black,M,22.0,1.0
81,80-17-012098,2017,2017-02-11,Aggravated_Assault,Pistol,Semi-Automatic,,Thunder_40_Pro,40C,BLOCK,2500 Block Montpelier Ct,2500_Montpelier_Ct,Louisville,KY,40272,-85.809575,38.112139,White,M,58.0,1.0
82,80-17-012218,2017,2017-02-11,Robbery,Pistol,Revolver,High_(Hi)_Standard,Double_Nine,22C,BLOCK,400 Block N 29Th St,400_N_29th_St,Louisville,KY,40212,-85.798484,38.26351,Black,M,18.0,0.728
83,80-17-012200,2017,2017-02-11,Aggravated_Assault,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",P-32,32C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,White,M,22.0,1.0
85,80-17-012200,2017,2017-02-11,Aggravated_Assault,Pistol,Semi-Automatic,Bryco_Arms,,380C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,White,M,22.0,1.0
87,80-17-012265,2017,2017-02-11,Vandalism,Pistol,Semi-Automatic,Smith_&_Wesson,Sd9Ve,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,18.0,1.0
89,80-17-012265,2017,2017-02-11,Vandalism,Pistol,Revolver,,H&R_Model_732,32C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,18.0,1.0
91,80-17-012109,2017,2017-02-11,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Pistols:_M&P,40C,,Breckenridge Ln / Hillsboro Rd,,St_Matthews,KY,40207,,,White,M,25.0,
92,80-17-012039,2017,2017-02-10,Narcotics,Shotgun,Pump_Action,,,12GA,BLOCK,1500 Block Longfield Ave,1500_Longfield_Ave,Louisville,KY,40215,-85.786644,38.198546,White,F,23.0,1.0
93,80-17-011817,2017,2017-02-10,Aggravated_Assault,Pistol,Semi-Automatic,Smith_&_Wesson,Sd40,40C,BLOCK,3700 Block Lentz Ave,3700_Lentz_Ave,Louisville,KY,40215,-85.786266,38.191143,Black,M,28.0,1.0
94,80-17-011680,2017,2017-02-10,Narcotics,,,Taurus_International,Model_Pt145,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
99,80-17-011680,2017,2017-02-10,Narcotics,,,Taurus_International,Model_Pt-24/7,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
104,80-17-011680,2017,2017-02-10,Narcotics,,,Taurus_International,,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
109,80-17-011680,2017,2017-02-10,Narcotics,,,"Glock,_Inc.",Model_21/21C_(4,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
114,80-17-011680,2017,2017-02-10,Narcotics,,,Jimenez_Arms,,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
119,80-17-011424,2017,2017-02-09,Wpns_Law_Violation,Pistol,Semi-Automatic,Ruger,,9MM,BLOCK,0 Block Grand Avenue Ct,0_Grand_Avenue_Ct,Louisville,KY,40211,-85.807232,38.241231,Black,M,27.0,0.516
120,80-17-011652,2017,2017-02-09,Wpns_Law_Violation,,,Standard_Arms_Of_Nevada,,,BLOCK,1700 Block Wilart Dr,1700_Wilart_Dr,Louisville,KY,40210,-85.79271,38.219848,Black,M,18.0,0.528
121,80-17-011777,2017,2017-02-09,Aggravated_Assault,Pistol,Semi-Automatic,"Springfield_Armory,Geneseo,Il",Pistol:_Model_X,9MM,BLOCK,5400 Block Crambrook Ave,5400_Crambrook_Ave,Louisville,KY,40272,-85.867163,38.120175,White,M,57.0,0.9129999999999999
122,80-17-011732,2017,2017-02-09,Narcotics,Pistol,Revolver,Charter_Arms_Corp.,,38C,BLOCK,600 Block Mallard Creek Rd,600_Mallard_Creek_Rd,St_Matthews,KY,40207,-85.631437,38.238652,Black,F,23.0,0.919
123,80-17-005013,2017,2017-02-09,Auto_Theft,Pistol,Semi-Automatic,Smith_&_Wesson,Mod910,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
124,80-17-011492,2017,2017-02-09,Narcotics,Rifle,Semi-Automatic,,Moe_Rip,556M,,S 28Th St / W Broadway,,Louisville,KY,40211,,,White,M,27.0,
125,80-17-011492,2017,2017-02-09,Narcotics,Rifle,Semi-Automatic,Norinco_(North_China_Industries),,762M,,S 28Th St / W Broadway,,Louisville,KY,40211,,,White,M,27.0,
126,80-17-011481,2017,2017-02-08,Narcotics,Pistol,Semi-Automatic,Ruger,,4570,BLOCK,1200 Block Southwestern Pky,1200_Southwestern_Pky,Louisville,KY,40211,-85.831289,38.242995,Black,M,29.0,1.0
127,80-17-011395,2017,2017-02-08,Wpns_Law_Violation,Pistol,Revolver,,,357C,BLOCK,300 Block S 10Th St,300_S_10th_St,Louisville,KY,40203,-85.767193,38.254714,Black,M,57.0,1.0
128,80-14-032487,2017,2017-02-08,Wpns_Law_Violation,Pistol,Revolver,European_American_Arms_Corp.,,38C,BLOCK,3500 Block Parthenia Ave,3500_Parthenia_Ave,Louisville,KY,40215,-85.79211600000001,38.192716,Black,F,33.0,0.528
134,80-14-032487,2017,2017-02-08,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Sd40Ve,40C,BLOCK,3500 Block Parthenia Ave,3500_Parthenia_Ave,Louisville,KY,40215,-85.79211600000001,38.192716,Black,F,33.0,0.528
140,80-14-032487,2017,2017-02-08,Wpns_Law_Violation,Pistol,Semi-Automatic,"Glock,_Inc.",Model_27_(40_Sw,40C,BLOCK,3500 Block Parthenia Ave,3500_Parthenia_Ave,Louisville,KY,40215,-85.79211600000001,38.192716,Black,F,33.0,0.528
146,80-14-032487,2014,2014-05-07,Wpns_Law_Violation,Pistol,Revolver,European_American_Arms_Corp.,,38C,BLOCK,3500 Block Parthenia Ave,3500_Parthenia_Ave,Louisville,KY,40215,-85.79211600000001,38.192716,Black,F,30.0,0.528
152,80-14-032487,2014,2014-05-07,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,Sd40Ve,40C,BLOCK,3500 Block Parthenia Ave,3500_Parthenia_Ave,Louisville,KY,40215,-85.79211600000001,38.192716,Black,F,30.0,0.528
158,80-14-032487,2014,2014-05-07,Wpns_Law_Violation,Pistol,Semi-Automatic,"Glock,_Inc.",Model_27_(40_Sw,40C,BLOCK,3500 Block Parthenia Ave,3500_Parthenia_Ave,Louisville,KY,40215,-85.79211600000001,38.192716,Black,F,30.0,0.528
164,80-17-005893,2017,2017-02-07,Stolen_Property,Pistol,Single-Shot,Comanche_Fireamrs,,410G,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,F,28.0,1.0
166,80-17-005893,2017,2017-02-07,Stolen_Property,Pistol,Semi-Automatic,"Springfield_Armory,Geneseo,Il",Pistol:_Model_X,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,F,28.0,1.0
168,80-17-010679,2017,2017-02-07,Aggravated_Assault,Pistol,Semi-Automatic,Glock_Gmbh,Model_17/17C_(9,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
169,80-17-010681,2017,2017-02-07,Wpns_Law_Violation,Pistol,Revolver,Smith_&_Wesson,65-3,357C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,,,,1.0
170,80-17-010831,2017,2017-02-07,Narcotics,,,Smith_&_Wesson,,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,25.0,1.0
171,80-17-010862,2017,2017-02-07,Aggravated_Assault,,,,,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,54.0,1.0
172,80-17-010862,2017,2017-02-07,Aggravated_Assault,Pistol,Semi-Automatic,,,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,54.0,1.0
173,80-17-010862,2017,2017-02-07,Aggravated_Assault,Pistol,Semi-Automatic,Browning_Arms_Co.,,9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,54.0,1.0
175,80-17-010698,2017,2017-02-06,Wpns_Law_Violation,Pistol,Semi-Automatic,Taurus_Internat,Model_Pt111,9MM,BLOCK,200 Block S Birchwood Ave,200_S_Birchwood_Ave,Louisville,KY,40206,-85.690436,38.253459,Hispanic,M,43.0,1.0
176,80-17-010589,2017,2017-02-06,Wpns_Law_Violation,Pistol,Semi-Automatic,Taurus_International,Taurus_Internat,9MM,BLOCK,3000 Block Mid Dale Ln,3000_Mid_Dale_Ln,Louisville,KY,40220,-85.63211,38.212478999999995,White,M,21.0,0.528
177,80-17-010583,2017,2017-02-06,Wpns_Law_Violation,Pistol,Semi-Automatic,"Skyy_Industries,_Llc",,9MM,BLOCK,3400 Block Taylor Blvd,3400_Taylor_Blvd,Louisville,KY,40215,-85.783139,38.1994,Black,M,22.0,1.0
178,80-17-010699,2017,2017-02-06,Stolen_Property,Pistol,Revolver,Charter_Arms_Corp.,Undercover,38C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,F,15.0,1.0
179,80-17-010601,2017,2017-02-06,Robbery,,,,,,BLOCK,7800 Block Outer Loop,7800_Outer_Loop,Louisville,KY,40219,-85.616202,38.137194,,,,1.0
180,80-17-010769,2017,2017-02-06,Narcotics,Pistol,Semi-Automatic,Ruger,,380C,BLOCK,9200 Block Blue Lick Rd,9200_Blue_Lick_Rd,Louisville,KY,40229,-85.689937,38.116034,White,F,23.0,1.0
182,80-17-010769,2017,2017-02-06,Narcotics,Pistol,Semi-Automatic,"Glock,_Inc.",,9MM,BLOCK,9200 Block Blue Lick Rd,9200_Blue_Lick_Rd,Louisville,KY,40229,-85.689937,38.116034,White,F,23.0,1.0
184,80-17-010790,2017,2017-02-06,Wpns_Law_Violation,Pistol,Semi-Automatic,Interamrs,,9MM,,W Manslick Rd / Penile Rd,,Louisville,KY,40118,,,White,M,25.0,
185,80-17-010408,2017,2017-02-05,Simple_Assault,Pistol,Semi-Automatic,Ruger,Handguns:_Lcp_S,9MM,BLOCK,100 Block E St Catherine St,100_E_St_Catherine_St,Louisville,KY,40203,-85.750949,38.236196,,,,0.728
186,80-17-010371,2017,2017-02-05,Aggravated_Assault,Pistol,Semi-Automatic,Hipoint,Jc-40_Series,40C,BLOCK,5500 Block Halstead Ave,5500_Halstead_Ave,Louisville,KY,40219,-85.711321,38.170721,White,M,33.0,1.0
187,80-17-010376,2017,2017-02-05,Aggravated_Assault,Pistol,Revolver,,.357_Revolver,357C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,33.0,1.0
188,80-17-010392,2017,2017-02-05,Aggravated_Assault,Pistol,Semi-Automatic,Taurus_Internat,Model_Pt111,9MM,,Arthur St / E Gaulbert Ave,,Louisville,KY,40208,,,Black,M,34.0,
189,80-17-010521,2017,2017-02-05,Robbery,,,Taurus_International,Model_Pt140,,,S 5Th St / Montana Ave,,Louisville,KY,40208,,,Black,M,19.0,
190,80-17-010521,2017,2017-02-05,Robbery,,,Taurus_International,,,,S 5Th St / Montana Ave,,Louisville,KY,40208,,,Black,M,19.0,
191,80-17-010521,2017,2017-02-05,Robbery,,,Cobra_Enterprises_Inc,,,,S 5Th St / Montana Ave,,Louisville,KY,40208,,,Black,M,19.0,
192,80-17-010383,2017,2017-02-05,Wpns_Law_Violation,Pistol,Semi-Automatic,Taurus_International,Model_Pt111,9MM,,Seelbach Ave / Taylor Blvd,,Louisville,KY,40215,,,Black,M,21.0,
193,80-17-010325,2017,2017-02-04,Aggravated_Assault,Pistol,Semi-Automatic,Pietro_Zanoletti,,9MM,BLOCK,300 Block Woodbine St,300_Woodbine_St,Louisville,KY,40208,-85.753985,38.229262,Black,M,25.0,0.528
194,80-17-010118,2017,2017-02-04,Wpns_Law_Violation,,,Smith_&_Wesson,,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,White,M,51.0,1.0
195,80-17-010215,2017,2017-02-04,Wpns_Law_Violation,Pistol,Revolver,Colt,Pistol_Pocket_P,32C,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,35.0,1.0
196,80-17-010122,2017,2017-02-04,Wpns_Law_Violation,Pistol,Semi-Automatic,Taurus_International,709_Slim,9MM,BLOCK,6300 Block Commerce Park Ct,6300_Commerce_Park_Ct,Louisville,KY,40118,-85.773852,38.119049,White,M,20.0,1.0
197,80-17-010348,2017,2017-02-04,Narcotics,Pistol,Semi-Automatic,"Glock,_Inc.",Model_27_(40_Sw,40C,BLOCK,7600 Block Manslick Rd,7600_Manslick_Rd,Louisville,KY,40214,-85.790927,38.146772,Black,M,32.0,0.528
199,80-17-010348,2017,2017-02-04,Narcotics,Pistol,Semi-Automatic,Ruger,Handguns:_Lcp_S,9MM,BLOCK,7600 Block Manslick Rd,7600_Manslick_Rd,Louisville,KY,40214,-85.790927,38.146772,Black,M,32.0,0.528
201,80-17-009394,2017,2017-02-03,Narcotics,Rifle,Semi-Automatic,Anderson_Manufacturing,,,BLOCK,13300 Block Horncastle,13300_Horncastle,Louisville,KY,40272,-85.889702,38.064312,White,M,35.0,0.5
202,80-17-009930,2017,2017-02-03,Stolen_Property,Pistol,Semi-Automatic,Jimenez_Arms,,9MM,BLOCK,300 Block Chariot Ct,300_Chariot_Ct,Louisville,KY,40219,-85.6661,38.127352,Black,M,30.0,1.0
203,80-17-009975,2017,2017-02-03,Stolen_Property,Pistol,Semi-Automatic,Taurus_International,Model_Pt145,4570,BLOCK,3300 Block W Market St,600_W_Jefferson_St,Louisville,KY,40212,-85.761323,38.253961,Black,M,31.0,1.0
204,80-17-009975,2017,2017-02-03,Stolen_Property,Pistol,Semi-Automatic,Taurus_International,Model_Pt145,4570,BLOCK,3300 Block W Market St,3300_W_Market_St,Louisville,KY,40212,-85.805874,38.26064,Black,M,31.0,1.0
205,80-17-009975,2017,2017-02-03,Stolen_Property,,,Smith_&_Wesson,Pistols:_M&P,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,31.0,1.0
206,80-17-009975,2017,2017-02-03,Stolen_Property,Pistol,Semi-Automatic,Smith_&_Wesson,Pistols:_M&P,,BLOCK,600 Block W Jefferson St,3300_W_Market_St,Louisville,KY,40202,-85.805874,38.26064,Black,M,31.0,1.0
