,incident_number,year,recovery_date,ucr_category,firearm_category,firearm_subcategory,firearm_manufacturer,firearm_model,firearm_caliber,address_geocode_type,block_address,street_address,city,state,zipcode,longitude,latitude,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,confidence
5836,80-16-020256,2016,2016-03-09,Wpns_Law_Violation,Rifle,Semi-Automatic,Norinco_(North_China_Industries),,762M,BLOCK,2900 Block Rockford Ln,2900_Rockford_Ln,Louisville,KY,40216,-85.854075,38.182947,Black,M,35.0,0.728
5837,80-16-020251,2016,2016-03-09,Wpns_Law_Violation,Pistol,Semi-Automatic,Fie,Titan_Tiger,25C,BLOCK,7500 Block Manslick Rd,7500_Manslick_Rd,Louisville,KY,40214,-85.790902,38.148069,,,,1.0
5838,80-16-019931,2016,2016-03-09,Wpns_Law_Violation,Pistol,Semi-Automatic,Glock_Gmbh,Model_21/21C_(4,45C,,Crums Ln / Dixie Hwy,,Shively,KY,40216,,,White,M,38.0,
5839,80-16-020018,2016,2016-03-09,Wpns_Law_Violation,Pistol,Semi-Automatic,,,9MM,,S 4Th St,,Louisville,KY,40214,,,Black,M,26.0,
5840,80-16-015742,2016,2016-03-08,Theft_Other,Pistol,Semi-Automatic,Smith_&_Wesson,,380C,BLOCK,700 Block Gheens Ave,700_Gheens_Ave,Louisville,KY,40214,-85.777023,38.166767,White,M,44.0,1.0
5841,80-16-019643,2016,2016-03-08,Narcotics,Pistol,Semi-Automatic,,,9MM,,Barrett Ln / Dixie Hwy,,Louisville,KY,40272,,,White,M,30.0,
5842,80-16-019927,2016,2016-03-08,Wpns_Law_Violation,Pistol,Semi-Automatic,Vulcan_Arms_Inc.,,45C,,St Andrews Church Rd / St Anthony Church Rd,,Louisville,KY,40214,,,Black,M,29.0,
5843,80-16-019332,2016,2016-03-07,Wpns_Law_Violation,,,Ruger,,,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,34.0,1.0
5844,80-16-019577,2016,2016-03-07,Narcotics,Shotgun,Pump_Action,,,12GA,BLOCK,6400 Block Marina Dr,6400_Marina_Dr,Louisville,KY,40059,-85.627673,38.33095,White,M,57.0,1.0
5845,80-16-005074,2016,2016-03-06,Theft_Other,Pistol,Semi-Automatic,Ruger,"Sturm,_Ruger_&",9MM,BLOCK,600 Block W Jefferson St,600_W_Jefferson_St,Louisville,KY,40202,-85.761323,38.253961,Black,M,20.0,1.0
5846,80-16-019251,2016,2016-03-06,Wpns_Law_Violation,Pistol,Semi-Automatic,Smith_&_Wesson,,40C,BLOCK,800 Block Sylvia St,800_Sylvia_St,Louisville,KY,40217,-85.740579,38.222190999999995,Black,M,28.0,0.528
5847,80-16-019156,2016,2016-03-06,Purse_Snatch,Pistol,Revolver,North_American_Arms,North_American,17C,,Bardstown Rd / Fegenbush Ln,,Louisville,KY,40218,,,White,M,61.0,
5848,80-16-019129,2016,2016-03-06,Robbery,Pistol,Revolver,Iver_Johnson,,32C,,Pending Location,,,,,,,White,M,20.0,
5849,80-16-018906,2016,2016-03-05,Wpns_Law_Violation,Pistol,Semi-Automatic,"Keltec,_Cnc_Industries,_Inc",P-3At,380C,BLOCK,4700 Block Bellevue Ave,4700_Bellevue_Ave,Louisville,KY,40215,-85.775204,38.182332,White,M,30.0,1.0
5850,80-16-019043,2016,2016-03-05,Shoplifting,Pistol,Semi-Automatic,,,9MM,BLOCK,7900 Block Shelbyville Rd,7900_Shelbyville_Rd,Louisville,KY,40222,-85.61047099999999,38.246862,Black,M,23.0,1.0
5851,80-16-018868,2016,2016-03-05,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,Jcp,40C,,Louis Coleman Jr Dr / River Park Dr,,Louisville,KY,40211,,,Black,F,18.0,
5852,80-16-019047,2016,2016-03-05,Wpns_Law_Violation,Pistol,Semi-Automatic,Hipoint,C9,9MM,,Marret Ave / S Preston St,,Louisville,KY,40208,,,White,M,16.0,
5853,80-16-018884,2016,2016-03-05,Narcotics,Pistol,Revolver,Taurus_International,Model_85,38C,,S 4Th St / W Ormsby Ave,,Louisville,KY,40203,,,White,F,34.0,
5854,80-16-018865,2016,2016-03-05,Narcotics,Pistol,Semi-Automatic,Smith_&_Wesson,Sw9Ve,9MM,,Stony Brook Dr / Taylorsville Rd,,Jeffersontown,KY,40220,,,White,M,21.0,
5855,80-16-018526,2016,2016-03-04,Aggravated_Assault,Pistol,Semi-Automatic,"Glock,_Inc.",Model_19/19C_(9,9MM,BLOCK,1000 Block S Jackson St,1000_S_Jackson_St,Louisville,KY,40203,-85.747074,38.237474,Black,M,20.0,1.0
5856,80-16-018842,2016,2016-03-04,Stolen_Property,,,"Glock,_Inc.",,,BLOCK,1200 Block Wolfe Ave,1200_Wolfe_Ave,Louisville,KY,40213,-85.73038299999999,38.196357,Black,M,43.0,1.0
5858,80-16-018842,2016,2016-03-04,Stolen_Property,,,,357_Magnum,,BLOCK,1200 Block Wolfe Ave,1200_Wolfe_Ave,Louisville,KY,40213,-85.73038299999999,38.196357,Black,M,43.0,1.0
5860,80-16-018786,2016,2016-03-04,Narcotics,Shotgun,Single-Shot,Winchester,,12GA,BLOCK,1600 Block Thornberry Ave,1600_Thornberry_Ave,Louisville,KY,40215,-85.783137,38.2093,White,M,28.0,1.0
5865,80-16-018786,2016,2016-03-04,Narcotics,Shotgun,Pump_Action,,,12GA,BLOCK,1600 Block Thornberry Ave,1600_Thornberry_Ave,Louisville,KY,40215,-85.783137,38.2093,White,M,28.0,1.0
5870,80-16-018786,2016,2016-03-04,Narcotics,Pistol,Semi-Automatic,Ruger,,9MM,BLOCK,1600 Block Thornberry Ave,1600_Thornberry_Ave,Louisville,KY,40215,-85.783137,38.2093,White,M,28.0,1.0
5875,80-16-018786,2016,2016-03-04,Narcotics,Pistol,Semi-Automatic,Springfield_Firearms_Corporation,,40C,BLOCK,1600 Block Thornberry Ave,1600_Thornberry_Ave,Louisville,KY,40215,-85.783137,38.2093,White,M,28.0,1.0
5880,80-16-018786,2016,2016-03-04,Narcotics,Pistol,Semi-Automatic,"Glock,_Inc.",,40C,BLOCK,1600 Block Thornberry Ave,1600_Thornberry_Ave,Louisville,KY,40215,-85.783137,38.2093,White,M,28.0,1.0
5885,80-16-018530,2016,2016-03-04,Narcotics,Rifle,Bolt_Action,,,22C,,Blue Lick Rd / Freedom Way,,Louisville,KY,40229,,,Black,M,24.0,
5886,80-16-018551,2016,2016-03-04,Wpns_Law_Violation,Pistol,Semi-Automatic,"Fnh_Usa,_Llc",,45C,,E Market St / S Preston St,,Louisville,KY,40202,,,White,M,32.0,
