LOT #,MAKE,MODEL,CALIBER,SERIAL #,
444,GLOCK,23,.40 S&W,NCC810,
445,STAR,UNKNOWN,9MM,1773907,
446,TAURUS,PT738,0.38,77611B,
447,TAURUS,709,9MM,TIX49845,
449,GLOCK,21,.45 ACP,UWS025,
450,MASTERPIECE ARMS,UNK,9MM,F20200,
451,TAURUS,PT24/7 PRO DS,0.45,NBV67269,
452,STOEGER,COUGAR,9MM,T6429-06-A001815,
453,SPRINGFIELD ARMORY,XD-40,0.4,XD482777,
454,GLOCK,22,.40 S&W,BLD170US,
455,TAURUS,SPECTRUM,0.38,1F071149,
456,SCCY,CPX-2,9MM,526600,
457,SMITH & WESSON,P9 SHIELD  SKU 187,9MM,JCV2696,
458,GLOCK,27,.40 S&W,CYA140US,
459,SMITH & WESSON,UNK,0.38,57485,
460,SMITH & WESSON,66,0.357,72K2000,
461,C Z,P-07,9MM,C523555,
462,INTRATEC,TEC-22,0.22,40146,
463,FNH,FNX,40,FX2U019209,
464,SCCY,CPX-2,9MM,188547,
465,KIMBER,MICRO 9,9MM,TB0009841,
466,ROCK ISLAND ARMORY,M1911,45,RIA1588114,
467,SMITH & WESSON,SD0VE,9MM,FXM9919,
468,JIMENEZ,JA NINE,9MM,357836,
468,STALLARD ARMS,JS9,9,73386,
468,HI POINT,9MM,9MM,P1394695,
468,BRYCO ARMS,UNKNOWN,9MM,1415311,
469,SMITH & WESSON,SD40VE,0.4,FZN8230,
470,TAURUS,PT111 G2,9MM,TKZ56910,
471,RUGER,MARK1,22,15-08899,
473,TAURUS,G2,9MM,THY71464,
474,CHARTER ARMS,UNDERCOVER .38,0.38,80353,
475,GLOCK,19,9MM,YUG033,
476,TAURUS,738,0.38,1D098183,
477,RUGER,LC9,9MM,32575799,
478,KELTEC,UNKNOWN,UNKNOWN,H0J02,
479,COLT,POCKET LITE,0.38,GP20321,
480         NO,RTH AMERICAN ARM,22M,0.22,E198553,
483,TAURUS,G2C,9MM,TLY35235,
484,BERSA,THUNDER 380,0.38,856658,
485,RUGER,UNKNOWN,0.22,68203,
486,SMITH & WESSON,642-2 163811,.38 SPL,CVZ5921,
487,TAURUS,941,.22 MAG,DN88944,
488,TISAS,ZIGANA F,9,T0620-13H00242,
489,TAURUS,PT738 TCP,0.38,44880E,
490,TAURUS,PT22,0.22,34737Z,
491,SPRINGFIELD ARMORY,XDS,0.45,S3142292,
492,TAURUS,PT709 SLIM,9,TKN02984,
493,COLT,JUNIOR,0.25,10314,
494,GLOCK,G-37,.45 GAP,GAE084,
495,SCCY,CPX-1,9MM,26719,
496,BERSA,UNKNOWN,0.38,260249,
497,SMITH & WESSON,SW9VE,UNKNOWN,RAL3567,
498,SPRINGFIELD ARMORY,9MM,UNKNOWN,US894670,
499,RAVEN ARMS,UNKNOWN,UNKNOWN,305412,
500,DERRINGER,UNKNOWN,UNKNOWN,D031655,
500,DAVIS,D32,0.32,271357,
501,WINCHESTER,190,0.22,B1703726,
502,H & R,UNKNOWN,12GA,AR231799,
503,MARLIN,MODEL 60,22,9291884,
504,STEVENS,246,22,982594,
506,WESTERFIELD,UNKNOWN,22,UNKNOWN,
508,MOSSBERG,702 PLINKSTER,0.22,EIJ3073468,
509,ROSSI,S201220BR,0.22,SR035296,
510,K S A INC,CRICKETT,0.22,237374,
511,NORINCO,UNKNOWN,UNKNOWN,7600660C,
512,MOSSBERG,UNKNOWN,UNKNOWN,MV10693M,
513,STEVENS,MODEL 79,20 GAUGE,D470588,
514,REMINGTON,MODEL 740,30-06,84170,
515,HOMPSON CENTER ARM,THUNDER HAWK,50 CAL,S10334,
516,REMINGTON,MODEL 1100,12 GAUGE,L901686V,
517,WEATHERBY,VANGUARD,00 WEATHERB,VS72139,
518,NEW ENGLAND,UNKNOWN,UNKNOWN,NW339087,
519,REMINGTON,870 EXPRESS,12 GAUGE,W813821M,
520,WINCHESTER,MODEL 70,22-250,G1956138,
521,REMINGTON,SPORTSMAN 48,16 GA,3538068,
522,BELK NAP,B63,0.41,NONE,
523,REMINGTON,1148,28 GA,4013021,
524,REMINGTON,552 SPEEDMASTER,0.22,NONE,
525,ROSSI,NONE,0.223,SP512509,
526,REMINGTON,34,0.22,122021,
527,RIVERSIDE ARMS,NONE,12 GA,853X,
528,BRITISH,NONE,0.303,7426,
529,MOSSBERG,88,20 GA,MV0367648,
530,REMINGTON,1148,12 GA,5207134,
531,MARLIN,39AS,0.22,4115325,
532,KSA INC,CRICKET,0.22,75653,
533,MOSSBERG,702 PLINKSTER,0.22,ELJ3524890,
534,MOSSBERG,MVP SERIES,5.56MM,MVP050377,
535,RUGER,MODEL 1,25-06,133-96979,
536,AK 47,NDS1P,7.62X39,G000090,
537,MARLIN,783,0.22,16672561,
538,THOMPSON CENTER,ENCORE,30-06,MAD9929,
539,INTERARMS,22,0.22,821553,
540,REMINGTON,581,0.22,36425,
541,NR DAVIS AND SONS,AJAX,12 GA,B10138,
542,MAUSER,3000,270,9349,
543,RUGER,22-Oct,0.22,240-94073,
545,ROCK RIVER ARMS,UNKNOWN,5.56,KT1166665,
546,RUGER,M77 HAWKEYE,0.243,711-19942,
547,MOSSBERG,930,12,AF039881,
548,REMINGTON,UNKNOWN,0.22,2143417,
549,WINCHESTER,61,0.22,306228,
550,REMINGTON,SPEEDMASTER,0.22,A1951730,
551,RUSSIA SKS,MOSIN,7.62,9130305978,
552,REMINGTON,1917,30-06,384490,
553,CHINESE,BOLT ACTION,UNKNOWN,22530,
554,SIMMONS,37,12,927674,
555,SPRINGFIELD ARMORY,187,0.22,C379594,
556,BELKNAP,SINGLE SHOT,16,A990251,
557,WINCHESTER,1200,12,L1224177,
558,ROMAINIAN,SKS,7.62,RA1139-1960,
559,REMINGTON,514,0.22,NONE VISIBLE,
560,MOSSBERG,835,12,UM118490,
561,INTERARMS,MODEL 22 ATD,0.22,421370,
601,SMITH & WESSON,MODEL 36,.38 SPECIAL,J379536,
602,LLAMA,UNKNOWN,UNKNOWN,B05403,
603,DAN WESSON,MODEL 14,0.357,13304,
604,SMITH & WESSON,MODEL 66-2,0.357,AES0518,
605,IVER JOHNSON,55-SA,0.32,B755O,
605,SPRINGFIELD ARMORY,OPERATOR,0.45,NM205912,
606,HERITAGE,ROUGH RIDER,0.22,G51847,
607,SPRINGFIELD ARMORY,XD9101,9MM,XD179715,
608,SPRINGFIELD ARMORY,XD40,0.4,US394525,
609,KELTEC,P11,9MM,58844,
611,EA,NONE,40,EA6448511398,
612,ROCK ISLAND ARMORY,1911,0.45,RIA1061076,
613,SMITH & WESSON,642-2 163811,.38 SPL,CSB3585,
614,TAURUS,MILLENNIUM,45,NC010882,
615,RUGER,EC9S,9MM,453-82160,
616,TAURUS,PT840,40 CAL,SJM46781,
617,RUGER,LCP,0.38,371436265,
618,DAVIS,UNKNOWN,0.32,516545,
619,ROHM,RG10,0.22,1269002,
620,R G,RG25,0.22,T467831,
621,HI POINT,CF380,.380 ACP,P8019578,
622,SMITH & WESSON,SPECIAL,0.38,C239290,
623,SCCY,CPX-1,9,536045,
624,GLOCK,21,.45 ACP,GSH889,
625,SMITH & WESSON,SW9VE SKU 120025,9MM,DWF6287,
626,TAURUS,PT 22,0.22,AQJ74055,
627,HI POINT,CF380,.380 ACP,P812158,
628,TAURUS,ULTRA LITE,0.38,JT89714,
950,MOSSBERG,715P,.22 LR,EMF380422,
950,DRACO,ASSAULT RIFLE,7.62 CAL,DB-2556-17RO,
952,ICAN TACTICAL / OMNI,HYBRID MULTI CAL,0.223,NS184920,
1000,AIRGUNS,UNKNOWN,UNKNOWN,UNKNOWN,
1001,AMMUNITION,UNKNOWN,UNKNOWN,UNKNOWN,
1002,MAGAZINES,UNKNOWN,UNKNOWN,UNKNOWN,
1003,HOLSTERS/CASES,UNKNOWN,UNKNOWN,UNKNOWN,
1004,KNIVES,UNKNOWN,UNKNOWN,UNKNOWN,
1005,PISTOL PARTS,UNKNOWN,UNKNOWN,UNKNOWN,
1006,RIFLE/SHOTGUN PARTS,UNKNOWN,UNKNOWN,UNKNOWN,
1008,TOPPER,88,20GA,AY422336,Receiver Only
1008,REMINGTON,870 EXPRESS MAG,12 GA,C467854M,Receiver Only
1008,DAVIS,63B,20GA,LI41998,Receiver Only
1008,H & R,TOPPER MODEL 58,12 GA,AM263545,Receiver Only
