LOT #,MAKE,MODEL,CALIBER,SERIAL #,
71,SCCY,CPX-1,9MM,414806,
72,TAURUS,PT111PRO,9MM,TDR40637,
73,SCCY,CPX-2,9MM,262227,
74,GLOCK,19,9MM,VRM396,
75,"SIG SAUER, INC.",P226,.40 S&W,U597932,
76,SMITH & WESSON,SW9VE,9MM,PBC8754,
77,NORINCO,UNKNOWN,9MM,402726,
78,BERETTA,96 BLACK,9MM,BER090547,
79,RUGER,BLACKHAWK,0.357,35-16677,
80,H & R,949,22L,AZ039444,
81,SMITH & WESSON,686,.357MAG,BRR1251,
82,TAURUS,601,0.357,0B199508,
83,AMT KURZ,9MM .380 BACKUP,0.38,DA35947,
84,CHARTER ARMS,UC LITE,0.38,12-36144,
85,TAURUS,.38 SPECIAL,0.38,CT75962,
86,"SIG SAUER, INC.",1911,.45 ACP,54B066322,
87,RUGER,P95,9MM,31868510,
88,RUGER,NEW VAQUERO,0.45,51002726,
89,CHARTER 2000,DERCOVER .38 SPEC,0.38,575454,
90,"SIG SAUER, INC.",P226,.357 SIG,U584524,
91,BERETTA,92FS,9MM,A057579Z,
92,SCCY INDUSTRIES,CPX-2,9MM,768560,
93,GLOCK,35,.40 S&W,YWP235,
94,HI POINT,UNK,0.45,319734,
94,HI POINT,C9,9MM,P1886564,
94,HI POINT,MODEL JHP,.45 CALIBER,X4297451,
94,HI POINT,JCP,40 CALIBER,X733028,
94,HI POINT,C9,9MM,P097070,
94,HI POINT,C9,9MM,P1600547,
94,HI POINT,JHP,45,X4138523,
94,HI POINT,C9,9MM,P1737991,
94,HI POINT,C9,9MM,P1610341,
94,LORCIN,UNKNOWN,9MM,L087908,
94,HI POINT,JCP,40,X7101158,
95,LLAMA,MICROMA X,0.38,71-C4-11417-03,
97,GLOCK,19,9MM,ADNR391,
98,GLOCK,19,9MM,ACCU899,
99,THER USA (CARL WALT,P22CA,.22 LR,L110438,
101,MOSSBERG,NTERNATIONAL 715,.22 CAL,ELD3383408,
102,WINCHESTER,70,7MM,G2172919,
103,REMINGTON,WINGMASTER 870,12GA,W021995V,
104,REMINGTON,870,12GA,W442165M,
105,REMINGTON,1100,12GA,N701617V,
106,MOSSBERG,500,12GA,U504761,
107,MOSSBERG,500,12GA,U284679,
108,REMINGTON,870 MAGNUM,12GA,B592048M,
109,MARLIN,6081,.22 CAL,0Z011480,
110,ANDERSON MFG.,AM15,MULTI,18189770,
111,TIPPMANN ARMS,M422,.22 CAL,6724,
113,HI POINT,995,9MM,F26132,
114,NEW ENGLAND ARMS,UNKNOWN,12 GA,NJ352198,
115,NEW ENGLAND ARMS,SB1,20 GA,NA141243,
116,RUGER,M77,7MM,791-73567,
117,BENELLI,UNKNOWN,12 GA,Z275979,
118,REMINGTON,1100,12 GA,L048974V,
119,REMINGTON,610,22 SHORT,UNKNOWN,
121,PALMETTO,UNKNOWN,AR15,SCD018038,
124,REMINGTON,UNKNOWN,0.22,60686,
125,MARLIN,30 AW,0.3,4087739,
126,REMINGTON,UNKNOWN,12 GAUGE,A530135M,
127,WINCHESTER,MODEL 37,20 GAUGE,UNKNOWN,
128,CN ROMAN SA/ CUG.R,1976,7.62 X 39,GR0075,
129,ERA,UNKNOWN,12GA,526456,
130,GLENFIELD,60,0.22,25439529,
131,WINCHESTER,69,0.22,NONE,
132,SAVAGE,UNKNOWN,0.22,NONE,
133,S K S,UNKNOWN,7.62,1611734,
134,STEVENS,UNKNOWN,0.22,NONE,
135,S K S,UNKNOWN,7.62,C1402484,
136,MARLIN,UNKNOWN,0.22,7212117,
137,SPIKES TACTICAL,ST15,0.223,CCR1690,
138,ITHACA GUN CO.,37,12GA,371481527,
139,MARLIN,60,22LR,24457807,
140,HI POINT,995,.9MM,E99814,
142,ASTERN ARMS COMPAN,GLE BARREL SHOTG,20 G,2257D,
143,REMINGTON,870 EXPRESS,12GA,W544360M,
145,REMINGTON,XPRESS SUPER MA,G       12GA,C693528A,
146,H & R,MODEL 88,410,AU627829,
147,MARLIN,336,30-30,05058113A,
148,MARLIN,60 SB,22LR,92402343,
149,HI POINT,4095,0.4,H32797,
150,SPRINGFIELD ARMORY,67 SERIES E,.12 G,C254131,
151,MOSIN-NAGANT,511,7.62X54,26732,
152,MOSSBERG,702,22LR,EHH401123,
153,MOSSBERG,590,12 GAUGE,V0861369,
154,MOSSBERG,INT'L 702 PLINKSTER,22,ESC4289835,
155,NEW ENGLAND,PARDNER,12 GA,NB326947,
158,SAVAGE,MODEL 64,.22 CALIBER,2469876,
159,H & R,HANDI RIFLE SB2,.22 CALIBER,172128,
160,BRIDGE GUN COMPANY,ACK PRINCE SHOTG,16 GAUGE,A623459,
161,CRICKET,YOUTH MODEL,.22 CALIBER,45428,
162,CBC,UNKNOWN,.22 CALIBER,66287,
163,ITHICA,SKB XL 300 SHOTGU,12 GAUGE,S1347602,
164,MARLIN,MODEL 81 DL,.22 CALIBER,UNKNOWN,
165,NEW ENGLAND,PARDNER MODEL,12 GAUGE,NS 278535,
166,NORINCO,MAK 90,7.52X39,617154,
167,CZ,452-2E ZKM,.22 CALIBER,A249048,
168,KELTEC,SUB 2000,23 MAG,F3G66,
169,KELTEC,SU-16,5.56MM,N8M05,
170,MOSSBERG,500 SHOTGUN,12 GAUGE,J093503,
171,WINCHESTER,MODEL 190,.22 CALIBER,B1161321,
172,S K S,UNKNOWN,7.62 CALIBER,11256503,
173,MOSSBERG MAVERICK,MODEL 88,12 GAUGE,MV55236R,
174,NORINCO,SKS,UNKNOWN,27041200J,
175,MOSSBERG,500C,20 GAUGE,P273129,
176,PALMETTO,PA-15,223,26206,
177,WINCHESTER,ODEL 1300 DEFENDE,12 GAUGE,L3039205,
178,REMINGTON,70 EXPRESS MAGNU,12 GAUGE,D107989M,
179,N E F,UNKNOWN,12 GAUGE,NM379819,
180,WINCHESTER,MODEL 370,12 GAUGE,UNKNOWN,
182,C V A,WOLF,50 CALIBER,61-13-023730-13,
183,WEST POINT,MODEL 842,30/30,B699242,
185,TERNI,BOLT ACTION,UNKNOWN,B18709,
187,NEW ENGLAND,VERSA PACK,.22 CALIBER,NW301654,
188,STEVENS,SHOTGUN,16 GAUGE,NONE,
189,SAVAGE,MARK II,.22 CALIBER,494262,
190,STEVENS,"ODEL 94H, SHOTGU",16 GAUGE,P198633,
191,SEARS,MODEL 3T,22 CALIBER,122251,
192,STEVENS,94C SHOTGUN,20 GAUGE,NONE,
193,N-PAP,N-PAP M70,7.62X39MM,N-PAP057628,
194,SAVAGE,RASCAL,.22 CALIBER,2626615,
195,SAVAGE,MODEL 64,.22 CALIBER,2783782,
196,MOSSBERG,SHOTGUN,20 GAUGE,P995160,
197,H & R,EL 1871 PARDDNER,12 GAUGE,NZ814255,
198,STEVENS           MO,DEL 320 SHOTGU,12 GAUGE,157294R,
201,CHARTER 2000,OFF DUTY,0.38,950519,
202,SMITH & WESSON,M&P 45 SKU 109206,.45 ACP,DWU7161,
203,SMITH & WESSON,M&P 40 SKU 109000,.40 S&W,HVS9766,
204,SMITH & WESSON    M&,P22 CA SKU 12200,.22 LR,HHT5184,
205,TAURUS,ULTRA LITE NINE,22,VF21641,
206,ROCK ISLAND ARMORY,M1911 A1-FS,UNKNOWN,RIA1698147,
207,TAURUS,PT145PRO,45,NEZ95808,
208,SMITH & WESSON,BODYGUARD 380,UNKNOWN,EBR3899,
209,SMITH & WESSON,SW9VE,9MM,DVH9408,
210,RUGER,LC9,9MM,325-99962,
211,SMITH & WESSON,SD9 VE,9MM,FWF2624,
212,BERETTA,PX4STORM,40,PY128614,
213,SMITH & WESSON,MODEL 36,38,J527779,
214,COLT,COBRA,0.38,C90302,
215,RUGER,P95,9MM,31892006,
216,TAURUS,MODEL PT 845,.45 CALIBER,NGZ60381,
217,TAURUS,MODEL PT738,.380 CALIBER,64708A,
218,SCCY INDUSTRIES,MODEL CPX-1,9MM,219385,
219,RAVEN ARMS,MODEL MP-25,.25 CALIBER,1001017,
219,RAVEN ARMS,MODEL P-25,0.25,491367,
219,F I E,UNKNOWN,25,DK18941,
219,JIMENEZ,JA 22,22,1125184,
219,RAVEN ARMS,MP-25,25,1844978,
219,JENNINGS,J-22,22,453318,
219,RAVEN ARMS,MP-25,25,1014479,
219,RAVEN ARMS,MP-25,25,817642,
219,GALESI-BRESCIA,UNKNOWN,6.35,488984,
219,RG,RG26,25,UO58523,
219,PHOENIX ARMS,HP22,22,4138058,
220,SMITH & WESSON,357 MAGNUM,.357 CALIBER,AUN7542,
221,BAIKAL,AK5303,9MM,A009494,
222,TAURUS,PT92,9MM,TJH51541,
223,SMITH & WESSON,MODEL 29-2,.44 MAGNUM,N337204,
224,SMITH & WESSON,M&P 9 SHIELD,9MM,LEB6912,
225,RUGER,LCP,380,378-28721,
226,AMT,"RDBALLER, SEMI AU",.45 CALIBER,A27609,
227,SMITH & WESSON,DA45,.45 CALIBER,189549,
228,SMITH & WESSON,59,9MM,A269353,
229,TAURUS,THE JUDGE,45,BY726257,
230,TAURUS,38 SPECIAL,.38 CALIBER,QE70370,
231,CHARTER ARMS,LDFINGER 38 SPECI,38 CALIBER,14-29195,
232,TAURUS,THE JUDGE,.45 CALIBER,KP217249,
233,HERITAGE,ROUGH RIDER,.22 CALIBER,M43462,
234,TAURUS,EL PT111 MILLENNIU,9 MM,TKS62717,
235,OPEAN AMERICAN ARM,38 SPECIAL,.357 CALIBER,1718681,
238,"SIG SAUER, INC.",P226,9MM,47AI80040,
239,RUGER,22/45 MK III,.22 LR,274-68059,
240,GLOCK,19,9MM,BGZM540,
241,TAURUS,G2S,.9MM,TLT03720,
242,ROCK ISLAND ARMORY,1911,45 ACP,RIA952341,
243,TAURUS,PT738,0.38,62567E,
244,TAURUS,PT111 G2,.9MM,THZ93362,
245,RUGER,P94DC,.9MM,308-55705,
246,CANIK 55,TP9,.9MM,13AI10048,
247,SMITH & WESSON,SD9 VE,.9MM,FYD1480,
248,RUGER,LCP,0.38,371537188,
249,TAURUS,PT111 G2,9MM,TIY69913,
250,RUGER,P95,UNKOWN,317-25737,
251,TAURUS,TCP PT738,0.38,51118A,
252,ROSSI,UNKNOWN,0.357,DN115304,
253,TAURUS,MILLENNIUM G2,9MM,TJM61939,
254,TAURUS,PT 738,0.38,40150C,
255,TAURUS,PT 1911,0.45,NG051975,
256,HERITAGE,ROUGH RIDER,22LR,HZ73600,
257,RUGER,SR40C,40,343-99836,
258,TAURUS,PT140 PRO,40,SZ102592,
259,KELTEC,PF-9,9MM,RDY37,
260,"SIG SAUER, INC.",P238,.380 ACP,27B088346,
262,THER USA (CARL WALT,PK380,0.38,PK0533884,
263,KELTEC,PF-9,9MM,SYF70,
264,KELTEC,PF-9,9MM,SYF56,
265,HK,P30,40,219-014279,
266,SPRINGFIELD ARMORY,1 EMP COMPACT PI9,45,NM280620,
267,RUGER,SR1911,9MM,670-38174,
268,GLOCK,20,10MM,STH562,
269,SMITH & WESSON,SD9VE,9MM,FXY8560,
270,SMITH & WESSON,SD9VE,9MM,FYF9217,
272,SMITH & WESSON,SD9VE,9MM,FWH4558,
273,TAURUS,MILLENNIUM G2,9MM,TJX16761,
274,COBRA ENTERPRISES,FS380,380,FS082022,
