,longitude,latitude,person_recovered_from_age,confidence
longitude,1.0,-0.9964704957151158,-0.01245901676745144,-0.7875581064897035
latitude,-0.9964704957151158,1.0,0.0008342829349668787,0.7901980821977523
person_recovered_from_age,-0.01245901676745144,0.0008342829349668787,1.0,-0.01242120599405007
confidence,-0.7875581064897035,0.7901980821977523,-0.01242120599405007,1.0
