incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
80-13-097166,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Sr9c,9MM,2013-12-20 00:00:00+00,INTERSECTION,N 22nd St / Bank St,Louisville,KY,40203,Black,M,21,N 22nd St / Bank St Louisville KY 40203,,,,,,
80-11-044948,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Intratec,,9MM,2011-06-11 00:00:00+00,INTERSECTION,7th Street Rd / Berry Blvd,Louisville,KY,40216,Black,M,20,7th Street Rd / Berry Blvd Louisville KY 40216,,,,,,
80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",Norinco,Sks,762M,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-12-061676,Wpns Law Violation,"Pistol, Revolver                                       ",,,38C,2012-08-03 00:00:00+00,INTERSECTION,Dixie Hwy / Ralph Ave,Shively,KY,,Black,M,53,Dixie Hwy / Ralph Ave Shively KY ,1195202.125,260851.7188,-85.79946622,38.20602483,,LOJIC
80-12-010689,Narcotics,Null,,Airmaster,,2012-02-16 00:00:00+00,INTERSECTION,Oxmoor Ln / Shelbyville Rd,Norwood,KY,40222,White,M,36,Oxmoor Ln / Shelbyville Rd Norwood KY 40222,1248916.5,275799.875,-85.61332491,38.24939976,,LOJIC
80-16-013248,Wpns Law Violation,Null,Taurus International,Taurus,,2016-02-13 00:00:00+00,INTERSECTION,Dixie Hwy / W. Orell,Louisville,KY,40272,Black,M,24,Dixie Hwy / W. Orell Louisville KY 40272,,,,,,
80-17-006120,Fraud,"Pistol, Semi-automatic                                 ",Smith & Wesson,,380C,2017-01-20 00:00:00+00,INTERSECTION,S 26th St / Pirtle St,Louisville,KY,40212,White,M,25,S 26th St / Pirtle St Louisville KY 40212,,,,,,
80-16-018528,Wpns Law Violation,Null,,Tomcat-32,,2016-03-04 00:00:00+00,INTERSECTION,S 26th St / W Broadway,Louisville,KY,40211,Black,M,22,S 26th St / W Broadway Louisville KY 40211,,,,,,
80-15-062377,Narcotics,Null,Jimenez Arms,Ja,,2015-08-09 00:00:00+00,INTERSECTION,S 45th St / W Broadway,Louisville,KY,40211,Black,M,21,S 45th St / W Broadway Louisville KY 40211,,,,,,
80-15-016556,Narcotics,Null,Hipoint,C9,,2015-03-08 00:00:00+00,INTERSECTION,W Kentucky St / Louis Coleman Jr Dr,Louisville,KY,40211,Null,NULL,NULL,W Kentucky St / Louis Coleman Jr Dr Louisville KY 40211,,,,,,
80-15-058410,Wpns Law Violation,Null,Hipoint,9,,2015-08-05 00:00:00+00,INTERSECTION,I 264 Ramp / Poplar Level Rd,Louisville,KY,40213,Black,M,17,I 264 Ramp / Poplar Level Rd Louisville KY 40213,,,,,,
80-15-092071,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Ruger,,40C,2015-11-12 00:00:00+00,INTERSECTION,N 25th St / Bank St,Louisville,KY,40212,Black,M,19,N 25th St / Bank St Louisville KY 40212,,,,,,
80-15-064172,Wpns Law Violation,Null,Rohm,Rg14,,2015-08-15 00:00:00+00,INTERSECTION,S 28th St / W Chestnut St,Louisville,KY,40211,Black,M,51,S 28th St / W Chestnut St Louisville KY 40211,,,,,,
80-16-073556,Robbery,Null,,732,,2016-08-29 00:00:00+00,INTERSECTION,S 22nd St / W Market St,Louisville,KY,40212,Null,NULL,NULL,S 22nd St / W Market St Louisville KY 40212,,,,,,
80-11-037378,Narcotics,"Rifle, Semi-automatic                                  ",,,762M,2011-05-16 00:00:00+00,INTERSECTION,N 37th St / Bank St,Louisville,KY,40212,White,M,27,N 37th St / Bank St Louisville KY 40212,,,,,,
80-12-049715,Narcotics,"Pistol, Semi-automatic                                 ",,,9MM,2012-06-22 00:00:00+00,INTERSECTION,S 10th St / W Market St,Louisville,KY,40202,Black,M,33,S 10th St / W Market St Louisville KY 40202,,,,,,
80-15-069040,Narcotics,"Pistol, Semi-automatic                                 ",Raven Arms,,25C,2015-08-31 00:00:00+00,INTERSECTION,S 13th St / Patton Ct,Louisville,KY,40210,White,M,21,S 13th St / Patton Ct Louisville KY 40210,,,,,,
80-13-096014,Wpns Law Violation,Null,Rossi - Amadeo Rossi & Co,38 Special,,2013-12-16 00:00:00+00,INTERSECTION,Dixie Hwy / Standard Ave,Louisville,KY,40210,Null,NULL,NULL,Dixie Hwy / Standard Ave Louisville KY 40210,1198245.25,269877.1863,-85.78940225,38.23094553,,LOJIC
80-14-011928,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,25C,2014-02-18 00:00:00+00,INTERSECTION,Gheens Ave / New Cut Rd,Louisville,KY,40214,White,M,40,Gheens Ave / New Cut Rd Louisville KY 40214,1200536.5,245821.125,-85.78003571,38.16500112,,LOJIC
80-15-050967,Wpns Law Violation,Null,Beretta (industria S.A.),21a-.22lr,,2015-07-02 00:00:00+00,INTERSECTION,N 19th St / W Main St,Louisville,KY,40203,Null,NULL,NULL,N 19th St / W Main St Louisville KY 40203,,,,,,
80-16-024487,Aggravated Assault,Null,Hipoint,,,2016-03-23 00:00:00+00,INTERSECTION,Magazine St / South 10th St,Louisville,KY,40203,Null,NULL,NULL,Magazine St / South 10th St Louisville KY 40203,,,,,,
80-11-000026,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,380C,2011-01-01 00:00:00+00,INTERSECTION,N 10th St / Rowan St,Louisville,KY,40203,Hispanic,M,26,N 10th St / Rowan St Louisville KY 40203,,,,,,
80-11-103253,Narcotics,"Pistol, Semi-automatic                                 ",Hipoint,,9MM,2011-12-21 00:00:00+00,INTERSECTION,S 11th St / Magazine St,Louisville,KY,40203,Black,M,29,S 11th St / Magazine St Louisville KY 40203,1204015.5,276320.25,-85.76968709,38.24889892,,LOJIC
80-16-050891,Narcotics,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,40C,2016-06-15 00:00:00+00,INTERSECTION,S 28th St / W Broadway,Louisville,KY,40211,Black,M,32,S 28th St / W Broadway Louisville KY 40211,,,,,,
80-11-042986,Wpns Law Violation,Machine Gun,Draco-c,Ak,762M,2011-06-04 00:00:00+00,INTERSECTION,S 32nd St / Greenwood Ave,Louisville,KY,40211,Black,M,18,S 32nd St / Greenwood Ave Louisville KY 40211,,,,,,
80-12-035338,Wpns Law Violation,"Pistol, Revolver                                       ",Colt,Detective Speci,38C,2012-05-05 00:00:00+00,INTERSECTION,S 35th St / Del Park Ter,Louisville,KY,40211,Black,M,23,S 35th St / Del Park Ter Louisville KY 40211,,,,,,
80-14-005522,Stolen Property,"Pistol, Semi-automatic                                 ",Phoenix Arms Co.,Raven,25C,2014-04-01 00:00:00+00,INTERSECTION,S 36th St / W Market St,Louisville,KY,40212,Black,M,18,S 36th St / W Market St Louisville KY 40212,,,,,,
80-17-002141,Wpns Law Violation,Null,Hipoint,,,2017-01-07 00:00:00+00,INTERSECTION,S 38th St / W Market St,Louisville,KY,40212,Black,M,26,S 38th St / W Market St Louisville KY 40212,,,,,,
80-12-049088,Narcotics,"Pistol, Semi-automatic                                 ",,,45C,2012-06-20 00:00:00+00,INTERSECTION,S 41st St / Herman St,Louisville,KY,40212,Black,M,18,S 41st St / Herman St Louisville KY 40212,1190323.75,280766.375,-85.81762052,38.26047619,,LOJIC
80-13-031720,Wpns Law Violation,Null,Ruger,,,2013-05-04 00:00:00+00,INTERSECTION,S 4th St / W Broadway,Louisville,KY,40202,Black,M,22,S 4th St / W Broadway Louisville KY 40202,,,,,,
80-16-028210,Narcotics Equip,"Pistol, Semi-automatic                                 ",Smith & Wesson,,9MM,2016-04-04 00:00:00+00,INTERSECTION,S 6th St / Iowa Ave,Louisville,KY,40208,White,F,36,S 6th St / Iowa Ave Louisville KY 40208,,,,,,
80-11-045427,Auto Theft,"Pistol, Revolver                                       ",Smith & Wesson,,32C,2011-06-15 00:00:00+00,INTERSECTION,S Brook St / Woodbine St,Louisville,KY,40208,Black,M,16,S Brook St / Woodbine St Louisville KY 40208,1208246.25,269173.25,-85.7545504,38.22946656,,LOJIC
80-12-040388,Wpns Law Violation,Submachine Gun (machine Pistol),Hipoint,Jc-40 Series,40C,2012-05-22 00:00:00+00,INTERSECTION,S Floyd St / Warnock St,Louisville,KY,40208,Black,M,22,S Floyd St / Warnock St Louisville KY 40208,,,,,,
80-15-019580,Wpns Law Violation,Null,,38 Spl,,2015-03-19 00:00:00+00,INTERSECTION,Amy Ave / Herman St,Louisville,KY,40212,Null,NULL,NULL,Amy Ave / Herman St Louisville KY 40212,1191552.625,280426,-85.8133212,38.25959901,,LOJIC
80-17-002189,Theft Fr Veh,"Pistol, Semi-automatic                                 ",Smith & Wesson,,40C,2017-01-08 00:00:00+00,INTERSECTION,Carlisle Ave / Taylor Ave,Louisville,KY,,White,F,29,Carlisle Ave / Taylor Ave Louisville KY ,,,,,,
80-13-013508,Narcotics,"Pistol, Revolver                                       ",,,9MM,2013-02-24 00:00:00+00,INTERSECTION,S 9th St / W Hill St,Louisville,KY,40208,Black,M,20,S 9th St / W Hill St Louisville KY 40208,,,,,,
80-15-093750,Wpns Law Violation,Null,,,,2015-11-18 00:00:00+00,INTERSECTION,Dixie Hwy / Pendleton Rd,Louisville,KY,40272,White,M,18,Dixie Hwy / Pendleton Rd Louisville KY 40272,1169249,208952.3125,-85.8865625,38.06229609,,LOJIC
80-16-067615,Stolen Property,Null,Sig-sauer,,,2016-08-09 00:00:00+00,INTERSECTION,E Breckinridge St / S Hancock St,Louisville,KY,40203,Null,NULL,NULL,E Breckinridge St / S Hancock St Louisville KY 40203,1211232.875,273074.625,-85.74437499,38.24031187,,LOJIC
80-15-033794,Wpns Law Violation,Null,Star,Interarms,,2015-05-06 00:00:00+00,INTERSECTION,Exley Ct / Kaiser Ct,Louisville,KY,40211,Null,NULL,NULL,Exley Ct / Kaiser Ct Louisville KY 40211,1187604.875,273773.625,-85.82667133,38.24114943,,LOJIC
80-12-042753,Narcotics,"Pistol, Derringer                                      ",Bond Arms Inc,Texas Defender,45C,2012-05-31 00:00:00+00,INTERSECTION,Fairdale Rd / Mount Holly Rd,Louisville,KY,40118,White,M,41,Fairdale Rd / Mount Holly Rd Louisville KY 40118,1206309.125,223870.0625,-85.75870984,38.10499245,,LOJIC
80-10-089737,Narcotics,"Pistol, Revolver                                       ",,,38C,2010-11-11 00:00:00+00,INTERSECTION,S 22nd St / Hale Ave,Louisville,KY,40210,Black,M,25,S 22nd St / Hale Ave Louisville KY 40210,,,,,,
80-15-058409,Wpns Law Violation,Null,Smith & Wesson,Sd 9 Ve,,2015-08-05 00:00:00+00,INTERSECTION,I 264 Ramp / I 264 Ramp,Louisville,KY,40205,Black,M,39,I 264 Ramp / I 264 Ramp Louisville KY 40205,,,,,,
80-12-086407,Narcotics,Null,Unknown Manufacturer,Sb,,2012-10-30 00:00:00+00,INTERSECTION,Lana Ct / Whispering Brook Dr,Louisville,KY,40229,White,M,47,Lana Ct / Whispering Brook Dr Louisville KY 40229,1224639.75,223299.25,-85.69498262,38.10423225,,LOJIC
80-16-008617,Wpns Law Violation,Null,Taurus International,Taurus,,2016-01-29 00:00:00+00,INTERSECTION,N 19th St / W Main St,Louisville,KY,40203,Black,M,22,N 19th St / W Main St Louisville KY 40203,,,,,,
80-13-039741,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Hipoint,Cf-380,380C,2013-06-01 00:00:00+00,INTERSECTION,N 33rd St / Northwestern Pky,Louisville,KY,40212,White,M,50,N 33rd St / Northwestern Pky Louisville KY 40212,,,,,,
80-11-000002,Intimidation,"Shotgun, Pump Action                                   ",,,12GA,2011-01-01 00:00:00+00,INTERSECTION,Powell Ave / Seelbach Ave,Louisville,KY,40215,Black,M,23,Powell Ave / Seelbach Ave Louisville KY 40215,1197424.375,254410.625,-85.79135854,38.18844234,,LOJIC
80-16-095649,Wpns Law Violation,Null,Smith & Wesson,Pistols: M&p,,2016-11-07 00:00:00+00,INTERSECTION,S 19th St / W Broadway,Louisville,KY,40203,Black,M,32,S 19th St / W Broadway Louisville KY 40203,,,,,,
80-16-105330,Narcotics,"Pistol, Semi-automatic                                 ",Taurus International,,40C,2016-12-10 00:00:00+00,INTERSECTION,S 23rd St / St Louis Ave,Louisville,KY,40210,Black,M,32,S 23rd St / St Louis Ave Louisville KY 40210,,,,,,
80-15-085836,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Brescia Armas,,635M,2015-10-23 00:00:00+00,INTERSECTION,S 28th St / W Broadway,Louisville,KY,40211,Black,M,25,S 28th St / W Broadway Louisville KY 40211,,,,,,
80-13-057166,Wpns Law Violation,"Pistol, Revolver                                       ",,,22C,2013-08-01 00:00:00+00,INTERSECTION,S 35th St / W Broadway,Louisville,KY,40211,Black,M,18,S 35th St / W Broadway Louisville KY 40211,,,,,,
80-16-031279,Wpns Law Violation,Null,,Mp 25,,2016-04-28 00:00:00+00,INTERSECTION,S 39th St / W Broadway,Louisville,KY,40211,Black,M,16,S 39th St / W Broadway Louisville KY 40211,,,,,,
80-17-002044,Stolen Property,"Pistol, Semi-automatic                                 ",,,9MM,2017-01-07 00:00:00+00,INTERSECTION,Dr W J Hodge St / Greenwood Ave,Louisville,KY,40210,Black,M,22,Dr W J Hodge St / Greenwood Ave Louisville KY 40210,,,,,,
80-16-028499,Wpns Law Violation,Null,Sig-sauer,P250,,2016-04-06 00:00:00+00,INTERSECTION,Dr W J Hodge St / W Kentucky St,Louisville,KY,40210,Black,M,30,Dr W J Hodge St / W Kentucky St Louisville KY 40210,,,,,,
80-10-049012,Aggravated Assault,"Pistol, Revolver                                       ",Smith & Wesson,Revoler: Model,38C,2010-06-29 00:00:00+00,INTERSECTION,16th St / W. Market St,Louisville,KY,40203,Black,M,22,16th St / W. Market St Louisville KY 40203,,,,,,
80-16-029131,Wpns Law Violation,Null,Smith & Wesson,Sd40  Ve,,2016-04-08 00:00:00+00,INTERSECTION,N 22nd St / Lytle St,Louisville,KY,40203,Black,M,24,N 22nd St / Lytle St Louisville KY 40203,,,,,,
80-14-043879,Wpns Law Violation,Null,Ruger,Sr9,,2014-06-16 00:00:00+00,INTERSECTION,Grand Ave / Louis Coleman Jr Dr,Louisville,KY,40211,Null,NULL,NULL,Grand Ave / Louis Coleman Jr Dr Louisville KY 40211,,,,,,
80-10-018063,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Raven Arms,Mp-25,25C,2010-03-14 00:00:00+00,INTERSECTION,36 / Greenwood Ave,Louisville,KY,40211,Black,M,17,36 / Greenwood Ave Louisville KY 40211,,,,,,
80-16-067623,Robbery,"Pistol, Semi-automatic                                 ",Hipoint,,9MM,2016-08-09 00:00:00+00,INTERSECTION,3rd St / W Broadway,Louisville,KY,,Null,NULL,NULL,3rd St / W Broadway Louisville KY ,,,,,,
80-16-067623,Robbery,"Pistol, Semi-automatic                                 ",Hipoint,,9MM,2016-08-09 00:00:00+00,INTERSECTION,3rd St / W Broadway,Louisville,KY,,Null,NULL,NULL,3rd St / W Broadway Louisville KY ,,,,,,
80-15-052341,Wpns Law Violation,Null,,Cpx  2,,2015-07-08 00:00:00+00,INTERSECTION,S 16th St / Bernheim Ln,Louisville,KY,40210,Black,M,23,S 16th St / Bernheim Ln Louisville KY 40210,,,,,,
80-15-106255,Wpns Law Violation,Null,Ruger,Handguns: Lcp S,,2015-12-30 00:00:00+00,INTERSECTION,S 26th St / W Chestnut St,Louisville,KY,40211,White,F,35,S 26th St / W Chestnut St Louisville KY 40211,,,,,,
80-16-037167,Narcotics,Null,Ruger,P90dc,,2016-05-02 00:00:00+00,INTERSECTION,S 3rd St / W Broadway,Louisville,KY,40202,Black,M,25,S 3rd St / W Broadway Louisville KY 40202,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Lcp,380C,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Lcp,380C,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-16-047784,Stolen Property,Null,Cobra Enterprises Inc,,,2016-06-05 00:00:00+00,INTERSECTION,Hillview Ave / Wessel Ave,Shively,KY,40216,Null,NULL,NULL,Hillview Ave / Wessel Ave Shively KY 40216,1191624,256169.5313,-85.81164042,38.19300335,,LOJIC
80-12-086407,Narcotics,Null,Unknown Manufacturer,Sb,,2012-10-30 00:00:00+00,INTERSECTION,Lana Ct / Whispering Brook Dr,Louisville,KY,40229,White,M,47,Lana Ct / Whispering Brook Dr Louisville KY 40229,1224639.75,223299.25,-85.69498262,38.10423225,,LOJIC
80-12-091142,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Handguns: P Ser,9MM,2012-11-16 00:00:00+00,INTERSECTION,M St / Taylor Blvd,Louisville,KY,40208,Black,M,21,M St / Taylor Blvd Louisville KY 40208,1203017,261947.8125,-85.7723364,38.20939214,,LOJIC
80-11-093986,Narcotics,"Pistol, Semi-automatic                                 ",Accu-tek,At 32 Ss (.32 C,32C,2011-11-19 00:00:00+00,INTERSECTION,S 13th St  / W Jefferson St,Louisville,KY,40203,Black,M,26,S 13th St  / W Jefferson St Louisville KY 40203,,,,,,
80-16-025278,Vandalism,"Pistol, Semi-automatic                                 ",Sig-sauer,P320,40C,2016-03-26 00:00:00+00,INTERSECTION,S 18th St / Magazine St,Louisville,KY,40203,Black,M,30,S 18th St / Magazine St Louisville KY 40203,1200694.25,276845.25,-85.781281,38.25018933,,LOJIC
80-11-097367,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,40C,2011-12-01 00:00:00+00,INTERSECTION,S 41st St / Herman St,Louisville,KY,40212,Black,M,27,S 41st St / Herman St Louisville KY 40212,1190323.75,280766.375,-85.81762052,38.26047619,,LOJIC
80-13-020463,Narcotics,"Pistol, Semi-automatic                                 ",Smith & Wesson,,40C,2013-03-24 00:00:00+00,INTERSECTION,S 7th St / W Broadway,Louisville,KY,40202,Black,M,29,S 7th St / W Broadway Louisville KY 40202,,,,,,
80-12-005829,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,9MM,2012-01-22 00:00:00+00,INTERSECTION,W Crell / Dixie Hwy,,,,White,M,22,W Crell / Dixie Hwy   ,,,,,,
80-15-019298,Stolen Property,"Pistol, Semi-automatic                                 ",Hipoint,Cf-380,380C,2015-03-18 00:00:00+00,INTERSECTION,Allison Way / Furman Blvd,Louisville,KY,40220,White,M,32,Allison Way / Furman Blvd Louisville KY 40220,1241031.875,262540.75,-85.6400807,38.21267051,,LOJIC
80-15-099620,Wpns Law Violation,Null,Smith & Wesson,Sw9ve,,2015-12-08 00:00:00+00,INTERSECTION,Bardstown Rd / Goldsmith Ln,Louisville,KY,40205,Black,M,24,Bardstown Rd / Goldsmith Ln Louisville KY 40205,1232702,261120.6413,-85.6689926,38.20842252,,LOJIC
80-15-081277,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Beretta (p. Or Pietro),,4570,2015-10-04 00:00:00+00,INTERSECTION,Buchanan St / E Washington St,Louisville,KY,40206,White,M,43,Buchanan St / E Washington St Louisville KY 40206,1215243.751,278726.75,-85.7307283,38.25600849,,LOJIC
80-14-011528,Robbery,Null,,,,2014-02-16 00:00:00+00,INTERSECTION,Dundee Rd / Strathmoor Blvd,Louisville,KY,40205,White,M,33,Dundee Rd / Strathmoor Blvd Louisville KY 40205,1227005.75,263925.8125,-85.68896689,38.21588197,,LOJIC
80-15-033794,Wpns Law Violation,Null,Colt,38 Spl,,2015-05-06 00:00:00+00,INTERSECTION,Exley Ct / Kaiser Ct,Louisville,KY,40211,Null,NULL,NULL,Exley Ct / Kaiser Ct Louisville KY 40211,1187604.875,273773.625,-85.82667133,38.24114943,,LOJIC
80-13-005455,Narcotics,Machine Gun,Masterpiece Arms,None,9MM,2013-01-23 00:00:00+00,INTERSECTION,Greenwood Rd / Terry Rd,Louisville,KY,40258,White,M,22,Greenwood Rd / Terry Rd Louisville KY 40258,1174008,238888.125,-85.87186669,38.14471929,,LOJIC
80-14-089075,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,Cpx-2,9MM,2014-11-17 00:00:00+00,INTERSECTION,Lincoln Ave / Lindbergh Dr,Louisville,KY,40208,Black,M,17,Lincoln Ave / Lindbergh Dr Louisville KY 40208,1201896.25,264006.375,-85.77635509,38.21499328,,LOJIC
80-14-035463,Wpns Law Violation,Null,Ruger,Sr9,,2014-05-17 00:00:00+00,INTERSECTION,S 13th St / W Hill St,Louisville,KY,40210,Null,NULL,NULL,S 13th St / W Hill St Louisville KY 40210,,,,,,
80-10-072225,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Iberia Firearms,,40C,2010-09-14 00:00:00+00,INTERSECTION,S 13th St / W Oak St,Louisville,KY,40210,Black,F,25,S 13th St / W Oak St Louisville KY 40210,,,,,,
80-12-049823,Wpns Law Violation,"Pistol, Revolver                                       ",Charter Arms Corp.,Undercover,38C,2012-06-23 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,White,M,17,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Sr40,40C,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Sr40,40C,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Smith & Wesson,Pistols: 59,9MM,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Smith & Wesson,Pistols: 59,9MM,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Handguns: P Ser,9MM,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ",Ruger,Handguns: P Ser,9MM,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ","Keltec, Cnc Industries, Inc                            ",Pf-9,9MM,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-13-037447,Narcotics,"Pistol, Semi-automatic                                 ","Keltec, Cnc Industries, Inc                            ",Pf-9,9MM,2013-05-24 00:00:00+00,INTERSECTION,3rd Street Rd / Cristland Rd,Louisville,KY,40214,Black,M,27,3rd Street Rd / Cristland Rd Louisville KY 40214,,,,,,
80-16-079799,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",Model 26 (9mm),9MM,2016-09-17 00:00:00+00,INTERSECTION,3rd Street Rd / E Pages Ln,Louisville,KY,40272,Black,M,32,3rd Street Rd / E Pages Ln Louisville KY 40272,,,,,,
80-13-036826,Wpns Law Violation,"Shotgun, Pump Action                                   ",,,12GA,2013-05-22 00:00:00+00,INTERSECTION,3rd Street Rd / New Cut Rd,Louisville,KY,40214,White,M,34,3rd Street Rd / New Cut Rd Louisville KY 40214,,,,,,
80-13-073898,Theft Other,"Pistol, Semi-automatic                                 ",Titan Mfg. Corp.,Titan Manufactu,25C,2013-09-26 00:00:00+00,INTERSECTION,3rd Street Rd / New Cut Rd,Louisville,KY,40214,White,M,33,3rd Street Rd / New Cut Rd Louisville KY 40214,,,,,,
80-15-022963,Narcotics,"Pistol, Semi-automatic                                 ",Hipoint,Cf-380,380C,2015-03-31 00:00:00+00,INTERSECTION,3rd Street Rd / New Cut Rd,Louisville,KY,40214,White,M,20,3rd Street Rd / New Cut Rd Louisville KY 40214,,,,,,
80-10-085718,Wpns Law Violation,"Pistol, Semi-automatic                                 ",,,38C,2010-10-28 00:00:00+00,INTERSECTION,3rd Street Rd / New Cut Rd,Louisville,KY,40214,Null,,NULL,3rd Street Rd / New Cut Rd Louisville KY 40214,,,,,,
80-10-016268,Narcotics,"Pistol, Revolver                                       ",Charter Arms Co,,38C,2010-03-08 00:00:00+00,INTERSECTION,3rd Street Rd / New Cut Rd,Louisville,KY,40214,White,M,24,3rd Street Rd / New Cut Rd Louisville KY 40214,,,,,,
80-15-022963,Narcotics,"Pistol, Semi-automatic                                 ",Hipoint,Jh-45,45C,2015-03-31 00:00:00+00,INTERSECTION,3rd Street Rd / New Cut Rd,Louisville,KY,40214,White,M,20,3rd Street Rd / New Cut Rd Louisville KY 40214,,,,,,
80-14-070144,Theft Fr Veh,"Pistol, Semi-automatic                                 ",Ruger,Handguns: Lcp S,9MM,2014-09-15 00:00:00+00,INTERSECTION,3rd Street Rd / Olde English Ct,Louisville,KY,40272,White,M,18,3rd Street Rd / Olde English Ct Louisville KY 40272,,,,,,
80-14-070144,Theft Fr Veh,"Pistol, Semi-automatic                                 ",Ruger,Handguns: Lcp S,9MM,2014-09-15 00:00:00+00,INTERSECTION,3rd Street Rd / Olde English Ct,Louisville,KY,40272,White,M,18,3rd Street Rd / Olde English Ct Louisville KY 40272,,,,,,
80-14-070144,Theft Fr Veh,"Pistol, Semi-automatic                                 ",Ruger,Handguns: Lcp S,9MM,2014-09-15 00:00:00+00,INTERSECTION,3rd Street Rd / Olde English Ct,Louisville,KY,40272,White,M,18,3rd Street Rd / Olde English Ct Louisville KY 40272,,,,,,
80-14-070144,Theft Fr Veh,"Pistol, Semi-automatic                                 ",Ruger,Handguns: Lcp S,9MM,2014-09-15 00:00:00+00,INTERSECTION,3rd Street Rd / Olde English Ct,Louisville,KY,40272,White,M,18,3rd Street Rd / Olde English Ct Louisville KY 40272,,,,,,
80-15-003773,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Springfield Armory,geneseo,il                          ",,9MM,2015-01-16 00:00:00+00,INTERSECTION,3rd Street Rd / Wisertown Rd,Louisville,KY,40214,White,M,20,3rd Street Rd / Wisertown Rd Louisville KY 40214,1196721.75,233280.7188,-85.79257163,38.13039484,,LOJIC
80-16-055595,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,9MM,2016-07-04 00:00:00+00,INTERSECTION,41st / Larkwood,Louisville,KY,40212,Black,M,16,41st / Larkwood Louisville KY 40212,,,,,,
80-16-055595,Wpns Law Violation,"Pistol, Semi-automatic                                 ","Glock, Inc.                                            ",,9MM,2016-07-04 00:00:00+00,INTERSECTION,41st / Larkwood,Louisville,KY,40212,Black,M,16,41st / Larkwood Louisville KY 40212,,,,,,
