incident_number,ucr_category,type_of_firearm,firearm_manufacturer,firearm_model,firearm_caliber,recovery_date,address_geocode_type,recovery_block_address,city,state,recovery_zipcode,person_recovered_from_race,person_recovered_from_sex,person_recovered_from_age,address_concat,x,y,longitude,latitude,confidence,source
80-15-000902,Wpns Law Violation,"Pistol, Revolver                                       ",Smith & Wesson,,22C,2015-01-05 00:00:00+00,INTERSECTION,Bradley Ave / Warnock St,Louisville,KY,40217,Black,M,23,Bradley Ave / Warnock St Louisville KY 40217,1209903.749,263709.625,-85.74847161,38.21453956,,LOJIC
80-16-032059,Aggravated Assault,"Pistol, Jet Propelled                                  ",Daisy Rifle Co,Daisy (heddon),177C,2016-04-19 00:00:00+00,INTERSECTION,Brashear Dr / Bulger Ct,Louisville,KY,40210,Black,M,20,Brashear Dr / Bulger Ct Louisville KY 40210,1202178.125,267761.6563,-85.77559063,38.22531675,,LOJIC
80-14-038247,Intimidation,"Pistol, Semi-automatic                                 ",Smith & Wesson,,9MM,2014-05-28 00:00:00+00,INTERSECTION,Brashear Dr / Bulger Ct,Louisville,KY,40210,Black,M,23,Brashear Dr / Bulger Ct Louisville KY 40210,1202178.125,267761.6563,-85.77559063,38.22531675,,LOJIC
80-11-003674,Narcotics,"Pistol, Revolver                                       ",Armsco,,38C,2011-01-14 00:00:00+00,INTERSECTION,Breckenridge Ln / Country Acres,Louisville,KY,40218,Black,M,55,Breckenridge Ln / Country Acres Louisville KY 40218,1244820.875,252005.7975,-85.62634696,38.18390083,,LOJIC
80-11-029576,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Springfield Arm,Pistol: Model X,9MM,2011-04-20 00:00:00+00,INTERSECTION,Breckenridge Ln / Hikes Ln,Louisville,KY,40220,Black,M,26,Breckenridge Ln / Hikes Ln Louisville KY 40220,1244364.001,264485.4375,-85.62858609,38.21814757,,LOJIC
80-13-069157,Aggravated Assault,"Rifle, Semi-automatic                                  ",Norinco,Sks,762M,2013-09-11 00:00:00+00,INTERSECTION,Breckenridge Ln / Hillbrook Dr,Louisville,KY,40220,Black,M,NULL,Breckenridge Ln / Hillbrook Dr Louisville KY 40220,1242817.125,266712.4375,-85.63408615,38.22419855,,LOJIC
80-13-069157,Aggravated Assault,"Rifle, Semi-automatic                                  ",Norinco,Sks,762M,2013-09-11 00:00:00+00,INTERSECTION,Breckenridge Ln / Hillbrook Dr,Louisville,KY,40220,Black,M,NULL,Breckenridge Ln / Hillbrook Dr Louisville KY 40220,1242817.125,266712.4375,-85.63408615,38.22419855,,LOJIC
80-17-012109,Wpns Law Violation,"Pistol, Semi-automatic                                 ",Smith & Wesson,Pistols: M&p,40C,2017-02-11 00:00:00+00,INTERSECTION,Breckenridge Ln / Hillsboro Rd,St_matthews,KY,40207,White,M,25,Breckenridge Ln / Hillsboro Rd St_matthews KY 40207,1239721.25,272624.1875,-85.64517328,38.24030218,,LOJIC
80-13-084684,Counterfeiting,"Pistol, Semi-automatic                                 ",,,40C,2013-11-03 00:00:00+00,INTERSECTION,Breckenridge Ln / Shelbyville Rd,St_matthews,KY,,White,M,22,Breckenridge Ln / Shelbyville Rd St_matthews KY ,1236857.625,277255.1563,-85.65538855,38.25289783,,LOJIC
80-13-046401,Wpns Law Violation,"Pistol, Revolver                                       ",New England Firearms,New England Fir,32C,2013-06-24 00:00:00+00,INTERSECTION,Breckenridge Ln / Six Mile Ln,Louisville,KY,40220,Black,M,58,Breckenridge Ln / Six Mile Ln Louisville KY 40220,1245253.75,256989.5,-85.62509998,38.19760242,,LOJIC
